Timestamp,Event Type,Parameter
11/25/2025 21:36:00.0,81,53
11/25/2025 21:36:01.1,82,53
11/25/2025 21:36:01.4,81,53
11/25/2025 21:36:01.6,16,6
11/25/2025 21:36:01.7,7,2
11/25/2025 21:36:01.7,7,6
11/25/2025 21:36:01.7,4,2
11/25/2025 21:36:01.7,4,6
11/25/2025 21:36:01.7,8,2
11/25/2025 21:36:01.7,8,6
11/25/2025 21:36:01.7,18,4
11/25/2025 21:36:01.7,18,8
11/25/2025 21:36:01.7,44,6
11/25/2025 21:36:01.7,13,6
11/25/2025 21:36:01.7,82,55
11/25/2025 21:36:01.8,43,6
11/25/2025 21:36:01.8,82,36
11/25/2025 21:36:02.0,2,4
11/25/2025 21:36:02.0,44,2
11/25/2025 21:36:02.0,81,55
11/25/2025 21:36:02.6,43,2
11/25/2025 21:36:02.6,82,51
11/25/2025 21:36:03.1,81,36
11/25/2025 21:36:03.5,82,53
11/25/2025 21:36:03.7,81,51
11/25/2025 21:36:03.9,81,53
11/25/2025 21:36:04.0,82,50
11/25/2025 21:36:05.1,43,9
11/25/2025 21:36:05.1,81,50
11/25/2025 21:36:05.1,82,26
11/25/2025 21:36:05.2,44,9
11/25/2025 21:36:05.2,81,26
11/25/2025 21:36:05.3,44,6
11/25/2025 21:36:07.1,82,50
11/25/2025 21:36:07.2,9,2
11/25/2025 21:36:07.2,9,6
11/25/2025 21:36:07.2,10,2
11/25/2025 21:36:07.2,10,6
11/25/2025 21:36:07.6,11,6
11/25/2025 21:36:07.6,12,6
11/25/2025 21:36:07.8,0,4
11/25/2025 21:36:07.8,0,8
11/25/2025 21:36:07.8,1,4
11/25/2025 21:36:07.8,1,8
11/25/2025 21:36:07.8,2,2
11/25/2025 21:36:07.8,11,2
11/25/2025 21:36:07.8,12,2
11/25/2025 21:36:07.8,31,1
11/25/2025 21:36:07.8,50,4
11/25/2025 21:36:07.8,50,8
11/25/2025 21:36:07.9,44,8
11/25/2025 21:36:09.0,43,4
11/25/2025 21:36:09.0,82,62
11/25/2025 21:36:09.2,44,4
11/25/2025 21:36:09.2,81,62
11/25/2025 21:36:09.7,16,8
11/25/2025 21:36:09.8,12,4
11/25/2025 21:36:09.8,12,8
11/25/2025 21:36:09.8,61,2
11/25/2025 21:36:09.8,61,4
11/25/2025 21:36:09.8,13,8
11/25/2025 21:36:09.9,43,4
11/25/2025 21:36:09.9,82,61
11/25/2025 21:36:10.1,44,4
11/25/2025 21:36:10.1,81,61
11/25/2025 21:36:11.9,16,4
11/25/2025 21:36:11.9,82,60
11/25/2025 21:36:12.0,13,4
11/25/2025 21:36:13.2,81,60
11/25/2025 21:36:13.3,43,9
11/25/2025 21:36:13.3,82,31
11/25/2025 21:36:13.4,44,9
11/25/2025 21:36:13.4,81,31
11/25/2025 21:36:14.8,7,8
11/25/2025 21:36:14.8,3,4
11/25/2025 21:36:14.8,3,8
11/25/2025 21:36:14.8,4,8
11/25/2025 21:36:14.8,8,8
11/25/2025 21:36:14.8,18,7
11/25/2025 21:36:14.9,43,8
11/25/2025 21:36:15.5,44,7
11/25/2025 21:36:15.5,44,8
11/25/2025 21:36:15.5,81,58
11/25/2025 21:36:15.7,43,9
11/25/2025 21:36:15.7,82,30
11/25/2025 21:36:15.9,44,9
11/25/2025 21:36:15.9,81,30
11/25/2025 21:36:18.9,9,8
11/25/2025 21:36:18.9,10,8
11/25/2025 21:36:19.9,2,6
11/25/2025 21:36:19.9,43,6
11/25/2025 21:36:19.9,82,40
11/25/2025 21:36:20.5,44,6
11/25/2025 21:36:20.5,81,40
11/25/2025 21:36:20.8,0,7
11/25/2025 21:36:20.8,1,7
11/25/2025 21:36:20.8,11,8
11/25/2025 21:36:20.8,50,7
11/25/2025 21:36:22.4,2,6
11/25/2025 21:36:22.4,43,6
11/25/2025 21:36:22.4,82,37
11/25/2025 21:36:22.7,16,7
11/25/2025 21:36:22.8,13,7
11/25/2025 21:36:23.2,44,6
11/25/2025 21:36:23.2,81,37
11/25/2025 21:36:25.8,7,4
11/25/2025 21:36:25.8,7,7
11/25/2025 21:36:25.8,2,6
11/25/2025 21:36:25.8,3,7
11/25/2025 21:36:25.8,4,4
11/25/2025 21:36:25.8,4,7
11/25/2025 21:36:25.8,8,4
11/25/2025 21:36:25.8,8,7
11/25/2025 21:36:25.8,18,2
11/25/2025 21:36:25.8,18,6
11/25/2025 21:36:25.8,63,2
11/25/2025 21:36:25.8,63,4
11/25/2025 21:36:28.3,43,6
11/25/2025 21:36:28.3,82,36
11/25/2025 21:36:29.0,9,7
11/25/2025 21:36:29.0,10,7
11/25/2025 21:36:29.0,64,4
11/25/2025 21:36:29.0,65,4
11/25/2025 21:36:29.9,9,4
11/25/2025 21:36:29.9,10,4
11/25/2025 21:36:29.9,64,2
11/25/2025 21:36:31.7,65,2
11/25/2025 21:36:31.8,11,4
11/25/2025 21:36:31.8,12,4
11/25/2025 21:36:32.2,0,2
11/25/2025 21:36:32.2,0,6
11/25/2025 21:36:32.2,1,2
11/25/2025 21:36:32.2,1,6
11/25/2025 21:36:32.2,11,7
11/25/2025 21:36:32.2,12,7
11/25/2025 21:36:32.2,31,2
11/25/2025 21:36:32.6,82,55
11/25/2025 21:36:33.0,81,55
11/25/2025 21:36:35.3,82,53
11/25/2025 21:36:35.7,81,36
11/25/2025 21:36:35.7,81,53
11/25/2025 21:36:35.8,43,9
11/25/2025 21:36:35.8,82,20
11/25/2025 21:36:36.1,44,9
11/25/2025 21:36:36.1,81,20
11/25/2025 21:36:36.1,81,50
11/25/2025 21:36:36.3,43,9
11/25/2025 21:36:36.3,82,26
11/25/2025 21:36:36.5,44,9
11/25/2025 21:36:36.5,81,26
11/25/2025 21:36:39.1,82,51
11/25/2025 21:36:40.2,81,51
11/25/2025 21:36:40.3,43,9
11/25/2025 21:36:40.3,82,27
11/25/2025 21:36:40.4,44,9
11/25/2025 21:36:40.4,81,27
11/25/2025 21:36:40.8,13,6
11/25/2025 21:36:41.2,13,2
11/25/2025 21:36:42.2,3,2
11/25/2025 21:36:42.2,3,6
11/25/2025 21:36:47.5,82,52
11/25/2025 21:36:48.4,81,52
11/25/2025 21:36:48.6,15,2
11/25/2025 21:36:48.6,82,55
11/25/2025 21:36:48.9,81,55
11/25/2025 21:36:49.1,15,6
11/25/2025 21:36:49.1,82,39
11/25/2025 21:36:49.4,81,39
11/25/2025 21:36:50.4,82,38
11/25/2025 21:36:50.5,82,37
11/25/2025 21:36:50.5,82,40
11/25/2025 21:36:50.5,82,53
11/25/2025 21:36:50.7,81,37
11/25/2025 21:36:50.7,81,38
11/25/2025 21:36:50.8,81,40
11/25/2025 21:36:50.8,81,53
11/25/2025 21:36:50.8,82,54
11/25/2025 21:36:51.1,81,54
11/25/2025 21:36:51.6,82,56
11/25/2025 21:36:51.8,82,37
11/25/2025 21:36:52.0,81,56
11/25/2025 21:36:52.4,81,37
11/25/2025 21:36:52.9,82,36
11/25/2025 21:36:53.6,82,50
11/25/2025 21:36:53.7,82,53
11/25/2025 21:36:53.8,81,36
11/25/2025 21:36:54.0,81,53
11/25/2025 21:36:54.4,82,34
11/25/2025 21:36:54.7,43,9
11/25/2025 21:36:54.7,81,50
11/25/2025 21:36:54.7,82,26
11/25/2025 21:36:54.8,44,9
11/25/2025 21:36:54.8,81,26
11/25/2025 21:36:55.3,13,6
11/25/2025 21:36:55.3,81,34
11/25/2025 21:36:55.3,82,52
11/25/2025 21:36:55.6,15,6
11/25/2025 21:36:55.6,82,41
11/25/2025 21:36:55.7,82,56
11/25/2025 21:36:56.0,81,56
11/25/2025 21:36:56.3,81,52
11/25/2025 21:36:56.4,82,52
11/25/2025 21:36:57.0,82,51
11/25/2025 21:36:57.4,2,5
11/25/2025 21:36:57.4,43,5
11/25/2025 21:36:57.4,50,6
11/25/2025 21:36:57.4,81,52
11/25/2025 21:36:57.4,82,49
11/25/2025 21:36:57.5,81,41
11/25/2025 21:36:57.6,43,9
11/25/2025 21:36:57.6,82,21
11/25/2025 21:36:57.7,44,9
11/25/2025 21:36:57.7,81,21
11/25/2025 21:36:57.7,82,53
11/25/2025 21:36:58.0,81,53
11/25/2025 21:36:58.3,43,9
11/25/2025 21:36:58.3,81,51
11/25/2025 21:36:58.3,82,27
11/25/2025 21:36:58.4,44,9
11/25/2025 21:36:58.4,81,27
11/25/2025 21:36:58.5,82,39
11/25/2025 21:36:58.7,82,52
11/25/2025 21:36:58.8,81,39
11/25/2025 21:36:59.9,81,52
11/25/2025 21:36:59.9,82,39